nama_parfum,brand,description,notes,url_foto,aroma_type,time,occasion,gender,shopee_link,tokopedia_link,tiktok_link,notes;;;;
Shaghaf opens with a wave of thrillingly exotic notes,crested by a funky-smoky oud note that's been made even grimier with a lusty ginger and cardamom underlining. The spiced oud accord is like a beastly shadow that creeps along the walls along the Ka'aba,its presence dark and ever-present. But soon,all you notice is the heart of magnificently dry oud wood smoldering in the heat of the embers,peppered with chunks of amber resin and glittering with incense. Slowly,a worn leather note emerges  or maybe it is black tea  thick with a meaty stew of resin and spice. ;;;;,,,,,,,
In a nod to Andy Warhol's multiples,You're In is released as a singular scent but in different unique collectible bottles,inscribed with varying famous quotes by the artist. But the true star here is the fragrance itself - the top notes open in a thirst-quenching burst of bitter orange and zesty makrout lime bubbling atop Comme des Garcons' signature soapy-herbaceous aldehydes. It's a shimmering,scrubbed-clean kind of sophisticated,and completed with pittosporum,a hyper-concentrated twin of orange blossom,and a softening hint of jasmine. Like a cold splash of water from a technicolor fountain,Andy Warhol's You're In leaves a mark as iconic as old Andy himself.;;;;,,,,,
Please note that Andy Warhol's You're In is a singular fragrance,available in different packaging options - each with a specific quote on the bottle and box:;;;;,,,,,,,,,,,
Wood,of course,has been part of the Comme des GarÃ§ons Parfums DNA from the outset,and here perfumer Antoine Lie has pulled out all the stops: this is all wood,just like it says on the bottle,the notes melding through the common smokiness of incense,guaiac,sandalwood,vetiver and oud with a hint of musty patchouli,dried out by cypress and cedar,wrapped in the powdery,velvety muskiness of Cashmeran. ;;;;,
Thisblast of green energy from Comme des GarÃ§ons starts out cool as a tropical shower from bouncing shiny leaves the size of umbrellas. Moves on to a slightly sulfurousgunpowder accord (think of how the air smells after fireworks) as guerillas skulk through the undergrowth. Is that something burning? The ice-cold sear of green pepper on the tongue,the wisps of smoke of a campfire in a secret clearing...;;;;,,,,,,,,,,,
100% Natural Oud extracted from resinous Aquilaria trees grown sustainably in South East Asia. A powerful yet fluid structure written around an overdose of precious woods,with most of the wood ideas concentrated in the heart,rather than the base.;;;;,,,,,,,,,,
The scent was designed by Christian Astuguevieille with Ãmilie Coppermann on the occasion of the Serpentine Galleries' expanded presence in the Royal Park of Kensington Gardens with the new Serpentine Sackler Gallery,designed by Zaha Hadid Architects. ;;;;,,,,,,,,,,,
And of course,this being Comme des GarÃ§ons,it conjures not only the bucolic fragrances of Hyde Park (that's thegrass,trees and lake part) but a hefty whiff of London. What other brand would be loony enough to claim asphalt anda little bit of pollution in its notes list? ;;;;,,,,,,,,,
And so it is with Rahat Loukoum. The sweet honey,almonds,and creamy vanilla are glossed with just enough bitter cherries,hawthorn,and balsams to stop you from putting your wrist in your mouth. The base,surprisingly resinous,exerts firm control over the sweet,fluffy heliotrope,and walks the fragrance straight down the line of edible-inedible. Rahat Loukoum is that rare scent is that is far from your average gourmand-- though with Serge Lutens' pedigree,we're guessing you already knew that. ;;;;,,,
Iris Silver Mist smells entirely like a root freshly torn from the ground,caked with earth,dew,and ice. Its purity is lung-filling and green - as bracing as cold water running in a brook. Between the iced,milky roots of the topnotes and the cool musk in the base,clove and benzoin lend the texture a spicy,dusty feel that almost approaches human warmth. But make no mistake  Iris Silver Mist is as brutally pure as a block of ice melting slowly in a forest on the Russian Steppes. As close to wearing a piece of art as you're likely to get. ;;;;,,,,,,
More than scent,however,Bois et Musc is all about texture: its musk is velvety and beeswaxy,while its cedarwood is silky. Not as dirty as Muscs Khoublai Khan but not nearly as clean as Clair de Musc,Bois et Musc is,for us,the happy medium of Lutensian musks. It is sensual as hell but in that comfortably discreet way that makes people wonder if you're wearing perfume or just smell particularly good. And when you're wearing Bois et Musc,you most certainly do. ;;;;,,,,,
In the heart,hints of hay and tea give the jasmine a transparency it does not possess in real life. The dry clove-like spiciness of carnation is framed against the crispness of green apples and grapes taken straight from the chiller. Beneath this impression of freshness,however,a sultry osmanthus and castoreum slyly join forces to create a dark,dry apricot leather that smells like skin at the nape of the neck. Sarrasins' je ne sais quoi emanates from this contrast between a living flower tumbling off a vine and the soft,skin-like suede notes that give it an abstract sophistication. Wear Sarrasins to feel inimitably French. ;;;;,,,,,,,
Ultimate is an overused word. Some bandy it about,announcing that something or other is the ultimate sports car,the ultimate cabernet,the ultimate restaurant. However,we can with confidence write that Molecule 03 is the ultimate vetiver. The aroma-chemical in Molecule 03 is vetiveryle acetate,a stark,clinical name for a vetiver note which is celebrated in its purest form in this fragrance. Amazingly,this single note runs the gamut of all aspects of vetiver. ;;;;,,,,,
The heart of orris is surrounded by Egyptian jasmine and soft tea notes. Then,at the base of the fragrance,the slightly bitter notes of vetiver are smoothed by rich amber shades of sandalwood,cedar,leather and musk.;;;;,,,,,,,,
In ChÃªne (French for oak),each note seems to mesh with the others to create a flammable mixture drenched in woody saps and resins... The fruity booziness of the oak,rum and immortelle segues,through the latter's tobacco and honey notes,into the beeswax and tonka bean. The smokiness of the tonka bean echoes that of the birch tar and oak. The bone-dry,pencil-shavings cedar is suffused with the aromatic camphor of the black thyme and the underlying bitterness of the oak tannins is nestled in anundergrowth note which chypre aficionados will recognize as... oak moss. ;;;;,,,,,,,
Its surprisingly addictive minty-camphoraceous top notes are due to the Tiger Balm-ish smell of methyl salicylate,a molecule naturally present in the tuberose... Instead of taming their fierceness,Serge Lutens asked the perfumer Christopher Sheldrake to unleash it. But after this olfactory assault,the tuberose opens up its creamy heart,made richer still with its white floral sisters jasmine and orange blossom,contrasted with the green-rosy,indolic notes of hyacinth. A rich oriental base anchors it to the skin,the styrax underlining the almost leathery undertones of the tuberose,nutmeg and clove boosting its slow burn...;;;;,,,,
It doesn't. The metallic,green,and watery aromas of emerging plant life are grounded by the earthier,velvety notes of soil and violet petals. The end result is a perfume that manages to suggest new life while remaining ever so slightly wistful and melancholic in tone. In the base,the ethereal florals are wreathed in smoke,incense,and earth,a reminder of our own eventual return to the ground.;;;;,,,,,
Amber Gold is a luscious,vibrant delight that reflects the dazzling glow of amber with a sparkling cascade of juicy citrus and spicy florals. A sublime orange blossom lends sweet,romantic depth as an ever-warming base of musky amber develops into a luminous richness. ;;;;,,,,,,,,,,
Rose Gold weds the deep exotic lushness of Bulgarian rose with an energetic heart of geranium,balancing sophistication with playful nimbleness. A compellingly woodsy base of patchouli and musk further deepens our seduction.;;;;,,,,,,,,,,,
I Am Trash is a perfume made entirely from found objects' like the fruit peels and wood chips leftover from extraction by the perfume or food industry. This makes perfect sense. After all,some of the most exquisite materials in perfumery derive from waste. Ambergris,for example,is effluvia from a whale washed up on a beach. Oud is a tree's white cell response to a fungal infection. And so on and so forth. ;;;;,,,,,,,,,
To celebrate ten years since the launch of Escentric Molecules 02,we are launching limited edition full-size bottles of Escentric 02 and Molecule 02 in sleek anodised aluminium travel cases.;;;;,,,,,,,,,,,
As a fragrance designed to honor both the man himself and the exquisite art to which he dedicated his life,Hyouge is a fresh,floral green tea scent with uniquely Japanese nuance.;;;;,,,,,,,,,,
From the gently powdered green freshness of the very first moments,it's clear that Hyouge is not just a tea scent,nor even just a green tea scent- it's a matcha scent,rich yet subtle,powdery yet bright,with an evocatively complex interplay of softly bitter and sweet notes. Iris and violet further the nuance,eschewing typical floral lushness for a smooth,powdered,gently woodsy base. As you might expect,Hyouge is a quiet scent,but like a true Sado ceremony,there's not a wasted movement- each detail is a touch of perfect,deliberate beauty. Matcha lovers- your new obsession has arrived.;;;;
The quick yet subtle bitterness slowly gives way to a creamy-soft and reassuring smoothness through the deft use of almond milk,coconut and floral aldehydes,transporting you to that moment just before you began to trade your innocence for wisdom.;;;;,,,,,,,,,,
The fizz of the opening is invigorating,with a burst of lemon and grapefruit so sharp you can taste it. It smells like an entire citrus tree pulped down and squeezed into the bottle,with everything from leaf to pulp and rind. The scent then deftly switches the charge to aromatics,running the juice over a bed of pink pepper and ginger root to keep those volatile citrus notes alive. There's a wonderful hot-cold effect going on in the background,the juicy sweetness of red fruit rubbing up against the coldness of spice. In the base,a soft,silvery hinoki wood supports the more aromatic notes but doesn't impose its own personality as insistently as cedar or gaiac. ;;;;,,,,,,
When Fragrance du Bois set their sights on amber as a main component for their newest Prive release,our expectations- and imaginations- were sky high. After all,the Prive line is defined by exceedingly rare ingredients,including their proprietary 100% organic vintage oud,as well as a willingness to simultaneously embrace and defy convention,to deliver scents that knew when to follow traditional structure,and when to take bold risks. To that end,Amber Intense is certainly an amber scent- loaded with rich,resinous,balsamic fullness- but with its spicy,floral complexity,it's also so much more. ;;;;,
The musks at the core of Fleur de Peau are,simply put,heavenly- a divine combination of notes both cotton-soft and rich,light and soapy-given an extra element of sparkle with a perfect amount of aldehydes. ;;;;,,,,,,,,,
Until now,that is. In an unprecedented move,Di Ser took the decision to distill oil from its own private collection of kyara. This was an enormously bold and risky undertaking,considering the expense of the raw material,the tiny yield,and the difficulty in extracting oil from such densely-resinated wood. Most oud oil fanatics will never have smelled genuine kyara,either in oil or incense form,so this fragrance,Kyara,is literally the opportunity of a lifetime. The holy grail of oud. ;;;;,,,
Along with today's minimalist trend,Not a Perfume follows suit and adds extremity,irreverence and conceptual characteristics to deliver a true art form. You have now stepped into a new and elegant form of perfumery. With Not a Perfume you get exactly what you want from the scent: it does not evolve; it is not a composition,but rather a particular fragrance that is very strong & lasting on skin. Just like the white packaging it's housed in,its makeup is fresh,clean,and clinical. This brand new concept from Romano Ricci is a modern day fragrance that is 100% synthetic and created without allergens. ;;;,,,,,,
True to form,Mx. doesn't abstain from taking a position on gender  it leaves all options open. Mx. dances between sweet creaminess and brusque,aromatic woods,playing both sides of the fence with perfect poise and balance. Its mouthwatering,almost gourmand opening salvo of peppery saffron fits neatly over a heart of rugged Australian sandalwood and cedar spiked with black pepper,ginger,cacao and frankincense.;;;;,,,,,,
At age 65,when famed explorer and author Philip Sava was given less than a year to live,he set off from his home in Madagascar for parts unknown. Leaving all his belongings behind,he set off on foot,hopped a freighter across the Indian Ocean,and wandered into the Bangladesh wilderness. His journey,which lasted over a decade,took him through Nepal and Tibet where his exploration turned spiritual and into rural China where months of solitude resulted in some of the most confessional observations ever committed to paper. This is the story of a man grappling with the meaning of life as he grasps to life's last vestiges.;;;;,,,,,
A fanfare of bright spices announces her arrival,with cardamom leading the way,and a glint of bergamot and lavender provide the spotlight. A grand tuberose,long white petals sweeping the floor,makes her radiant entrance,gracious yet coy. Her intoxicating aroma is a slow reveal here,and she keeps her indolic cards close to her chest. Handmaids jasmine and gardenia are by her side,but they know never to overshadow the star. ;;;;,,,,,
As it develops further,Naias turns into a chameleon,its soft notes weaving and dancing in the air,frequently changing,sometimes rippling out as a fruity floral leather,sometimes as a creamy irisy woody musk with amber,abstract flowers,tangy fruits,and powder woven in. It eventually finishes as a cashmere soft mix of caramel-scented amber,plush woods,and powdered sweetness. ;;;;,,
A fresh,balmy clary sage note dominates at first,like a nosegay of fresh green herbs tucked under the flap of a saddle,giving the fragrance an attractively lived-in air. Although the radiant florals certainly perform a role,Montabaco is not really a floral fragrance: it is the tough,smoky woods,moss,and leather accords that dominate here. But the fresh,dancing lightness of the tea leaf and white jasmine infuse the scent with enough air and space for the heavier notes to breathe. The result? A genuinely masculineGaucho type of fragrance pitched halfway between the grimy,well-worn leather of experience and the smoky,herbal airiness of the Argentinean outback. ;;;;,,
Qi opens with the balmy bite of neroli and lemon blossom,a delicately fresh precursor to a heart full of osmanthus,which laces the scent with a juicy,apricot-like aroma as well as the lightly tannic scent of green tea leaves. For a while,the scent floats peacefully along in this faintly peppered and fruited tea vein until a soft,mossy musk blurs the edges of the scent. Traversing all the minute stops between a fruity osmanthus oolong to a dry,green matÃ©,Qi is simply a must try for tea lovers,or indeed for anyone who values translucence and refinement above all.;;;;,,,,
The opening spark is a bright flame,both tart and smoky,invoking the beginning of ritual. Fizzy orbs of bergamot and petitgrain crackle with delicate shavings of nutmeg,fragrant and spicy. At the same time,a vetiver-infused plume of smoke rises,and palo santo makes its entrance. This is the sacred wood elevated to high chic,a far cry from rustic bundles of wood - more like a glowing,elegant veil with meditative grounding. ;;;;,,,,,
UAE Aoud pays tribute to this taste for exuberance and luxury by loading up on the most sumptuous raw materials in the world  the costliest Taifi rose ottos,the smokiest,most refined Laotian oud,and the finest floral absolutes and concretes available this side of Grasse. Supported by a creamy mÃ©lange of white and yellow flowers such as jasmine,gardenia,and ylang,a bright,pure Taifi rose sings out,clearly the top-billing soprano. ;;;;,,,,
Santal Complet opens with the aforementioned coconut note,one of the best we've ever smelled: the perfect balance between refreshing and creamy,with a zingy patina of fresh lemon and black pepper. As the beautiful,multifaceted sandalwood warms up,we find it's the perfect companion for the coconut- gently sweet,creamy,and a blend of warm and cool tonalities that feel exactly like the afternoon sun hitting your still-wet-from-the-ocean-skin,with supporting notes of amber and vanilla supplementing without overwhelming. Plenty of scents promise vacation ambiance,but if you're seeking a getaway of unparalleled luxury,Santal Complet is uniquely qualified to soothe your wanderlust.;;;;,,,
A brilliantly dark graphic novel,A City On Fire,is the story of two match-makers. Rupert literally fabricates matches in a factory on the waterfront while Frances writes a dating column for the city's newspaper. Both are recluses who haunt the night's shadows observing clandestine activities from afar but never partaking. That changes one fortuitous evening when they are both witness to the same high-profile murder and are forced to come together as an unlikely vigilante pair in order to save their own names.;;;;,,,,,,,,,,
On the outskirts of Clarksdale,Mississippi,at the end of a secluded dirt road sat a small ramshackle church. It was not a place of worship but rather where many went to seek refuge during impoverished times. Legend has it the structure was transported to the wild mint field by hand,hoisted on the shoulders of two dozen men. The outside remained simple and nondescript but the interior was aglow with pilfered neon signs,Christmas lights,and a jukebox donated by the sheriff's son. It was a distinctly secular place where locals who knew where to find it could share moonshine,socialize,and dance their troubles away. They called their ramshackle juke joint Saint Julep and the oral histories compiled within paint a picture of that magical place wherethe smiles was always free and salvation had the distinct smell of sweet mint.;;;;,,,,,
The top notes of Italian bergamot,juniper and pepper are intended to be the aperitif that sparks the conversation and awakens the palate in anticipation of the meal. Following Papa from Spain to Italy with Mediterranean scents that evaporate to leave place to a darker mood,where the amber and vetiver mixed is reminiscent of the waxed wood of a Cuban bar top. The exotic meets the familiar,the tropical heat is cooled off by a glass of scotch.;;;;,,,,,,,,,
Devante ValÃ©reo was raised in a dusty Spanish village on the Balearic Sea. He fondly recalled going to the bullfights with his father,an ex-picador,and credited those early experiences with inspiring his most popular novella,Bull's Blood. The book's lurid tale of seduction garnered obscenity charges against the author. Though the charges were rejected by the court,a ban on the sale of his works persisted for a number of years.;;;;,,,,,,,,
Cape Heartache is the lone American contribution to Philip Sava's wildly popular series of exploration novels. It is based loosely on an expedition he made to the Pacific Northwest as a teenager in 1881 and is generally regarded as the most candid of his works. Revolving around a homestead he built in a coastal grove of old growth trees,the novel documents his romance with a young woman who was a descendent of the Nehalem Indian Tribe. It's themes of leaving the familiar and finding comfort and solace in a new place still resonate today.;;;;,,,,,,,,,,,
The early exploration writing of Philip Sava bent the limits of post-modern fiction,revealing fantastical worlds that fooled many into believing they were,in fact,real. Sava's kaleidoscopic collections,of which Memoirs of a Trespasser is the undeniable centerpiece,drew upon true experiences from his exotic travels but were infused with a hallucinatory inventiveness that set his work apart from others in the genre.;;;;,,,,,,,
Claude LeCoq published his first book,The Soft Lawn,in 1916 while still attending Princeton University. A controversial portrait of adolescent upper-class rebellion in New England,the coming-of-age story follows Hampton Perry,a charmingly snotty college tennis champ who,after years of having everything handed to him on a silver platter,finds himself handing it all back.;;;;,,,,,,
Kai Rose is no old-fashioned tea rose,nor is it brooding - instead,imagine the platonic ideal of a fresh,romantic rose,vibrant and deep pink. Now wrap it in Kai's signature luscious,exotic white flowers - what was at once familiar and lovely feels like a new encounter all over again. Precious rose absolute and all-natural essences embody the philosophy of kai: breath,life,flow. This soft,subtle fragrance can be worn on its own,or complemented by the original Kai for added effect. ;;;;,,,
Jojoba oil is the best natural oil for dry and normal skin: Technically it is a wax,and due to its natural composition any skin absorbs it fast. Jojoba oil will not go bad hence this body oil is free of any preservatives or antioxidants,and -if protected from light- the perfume added to this body oil will last for years. ;;;;,,,,,,,,,,
Titled after the pivotal collaboration of Giorgio Moroder and Donna Summer and composed of undeniably sensual notes including amber,iris and myrrh,I Feel Love is a wearable reminder of the political,artistic and sexual freedoms we may only achieve together.;;;;,,,,,,,,,
Au Coeur du Desert is a luxurious extrait that uses higher concentrations of the keynote ingredients that gave the original L'Air its soul: coriander,cumin,patchouli,cedar,ambergris,and resin. To our noses,Au Coeur has a smoother quality of patchouli,warmer woods,and a higher dose of ambergris,its salted golden warmth throwing all the other notes into stark relief. In terms of texture,Au Coeur is dense silk to L'Air's smoke. ;;;;,,
But that's only part of the story. After all,who would pay such a high price for a remake of Mitsouko? Diaghilev stands head and shoulders above all other chypres for two reasons. First,the quality of the raw materials  think the smoothest oakmoss,the inkiest vetiver,the most exquisite ambrette seed,and finest floral absolutes  makes for an experience so intoxicating that you just stop questioning the cost. ;;;;,,,,,,,
Rose of No Man's Land is centered around the delicate petals of a Turkish rose,both strikingly lush and softly sweet. A radiant chord of raspberry gives the heart notes fruit-laden depth,while a papyrus wood base and white amber chord add an eternal and sophisticated aura,delivering,in total,a rosebud of immense purity.;;;;,,,,,,,
In Tabac Tabou,the tobacco leaf arrives folded in whiffs of fresh hay and wild landscape,rich and utterly untamed. A green,fresh narcissus meets white flowers,rough-hewn leather and compellingly fur-like animalic notes. Sweet,honeyed immortelle supports the main ingredient's natural sweetness,while unannounced secret ingredients lend incredible depths of earthy yet delicate nuance,confirming our feeling that this isn't so much a standard fragrance as it is a direct pipeline to a mystical world that used to be. ;;;;,,,,,
Ben Gorham,the visionary behind Byredo,used his impression of a bride in a Traditional Indian wedding as his inspiration for Flowerhead.The idea of marrying someone you don't know was very interesting. There's anxiety and excitement,and I described this person as a flowerhead',because the bride is completely covered in floral hair arrangements.;;;;,,,,,,,,
Feminine:1. A Lab on Fire - What we do in Paris is Secret 2. Byredo - Bal d'Afrique 3. Dusita - Melodie de l'Amour 4. Escentric Molecules - Molecule 02 5. Ex Idolo - Love & Crime 6. Ex Nihilo - Fleur Narcotique 7. Indult - Tihota 8. J-Scent - Paper Soap9. Keiko Mecheri - Loukhoum 10. Maison Francis Kurkdjian - Baccarat Rouge 540 EDP 11. Parfums de Nicolai - Fig Tea 12. Serge Lutens - Fleurs d'Oranger13. Xerjoff - V Erba Pura ;;;;,,,,,,,,,,,,
Tradition has it that you can purify your soul by throwing sesame seeds  one seed for each passion  into one of the flaming domes. By capturing this unique ingredient alongside a beautifully vibrant grapefruit note,Kedu whisks us away to one of the world's most unique locations.;;;;,,,,,,,,,,,
Pomelo Paradis is Atelier Cologne's 7th cologne absolue in their Collection Originale,and is an homage to this unsung citrus. With one of the most mouthwatering openings we've ever smelled,Pomelo Paradis serves up both the crisp edginess of the peel with all the sweetness of its fruit; like the moment of pulling apart the juicy segments,with the peel just removed,not yet discarded.;;;,,,,,,,,
Nuit Noire starts with a surprisingly raunchy opening that combines cardamom and ginger with orange flower in a way that brings out the not-so-innocent orange flower's ripe-dirty side. From the beginning,Nuit Noire announces this perfume's rating: R,with a nod to triple-X. Incense and cinnamon-clove spices combined with the carnal tuberose then dries down, if you can take it!  to a barnyard-y animalic dirtiness from leather and musk,no doubt with some sandalwood lurking around in the background.;;;;,,,,,,,,
Lux starts off with a sparkling,sweet,and citrusy burst of Sicilian lemon and a lemongrass note from the Litsea cubeba,a tree in the evergreen family that is found in parts of Asia. This bright sweetness is tempered by the bitter-green herb note petitgrain signaling that,in spite of its name,Lux has more than a one-track mind.;;;;,,,,,,,
Darker tones of amber,benzoin,labdanum and vanilla add a creamy,heavier mood to Lux,while vetiver,cedar and sandalwood add texture and woods. While Lux's bright notes can still be felt in the drydown,an almost gourmand darkness takes over. To Lux's warmth and creaminess,di Orio adds another surprise as Lux takes on an unexpected dimension: an animalic drydown that lists musk in the notes,but that smells like civet to the nose.;;;;,,,,
Hedonist Iris is presented within a beautifully crafted bottle filled with hundreds of genuine bohemian crystals that sparkle brilliantly in the divine liquid and the bottle itself is enclosed within a handmade wooden box fashioned to capture the sleek look and feel of snakeskin leather.;;;;,,,,,,,,,,,,
In the 1300's the juice smelled pretty much smelled like rosemary tincture,so Minya decided to come up with a modern context of the famous scent. Today Hungary's famous Tokaji AszÃº ( Tokaji Essence ) represents a world wide appreciated dessert wine with proven medical benefits,this is why Eau de Hongrie evokes the honeyed aroma of this precious wine specialty.;;;;,,,,,,,,,,
Lovers of gourmands and Tokaji Aszu alike will delight in the floating honey notes of Eau de Hongrie. It is truly a bewitching elixir,capable of making one drunk just upon smelling. Glittering citrus notes shape the opening of the scent,followed by smooth balsamic labdanum and immortelle. A soft buzz of clove and a grounding sandalwood base finish it off,and all the time there is the glow of honey - warm and heavenly,as if it were dropped from the hands of an angel.;;;;,,,,,,,,
The Chinese have prized it since Antiquity for its aphrodisiac virtues. Its smell was considered so heavenly by Islam it was blended into the mortar of some mosques so that they would exhale it in the sun. It was so penetrating that ships loaded with tea would refuse to carry it for fear it would impregnate their cargo...Tonkin musk,produced by a species of Himalayan deer,was one of the most precious ingredients of the perfumers' palette: it suffused their blends with a sensual aura that fixed and magnified every other essence.;;;;,,,,,,,,,,
No longer used for ethical reasons,natural musk still haunts perfumers since it has never been perfectly replaced. It is to capture this fascinating ghost that Musc Tonkin reinvents it by blending the most opulent raw materials to conjure its myriad facets. Their names don't matter: like the mysterious charisma of certain people who draw us into their wake,Musc Tonkin should be experienced rather than described.;;;;,,,,,,,,,,
Today,Tom Ford reinvents this influential ingredient into a truly vanguard scent for a new era. Patchouli Absolu merges three opulentand distinctly differentversions of this iconic plant ingredient. Patchouli oil contributes raw and primal texture; patchouli coeur,the ultra-luxurious,absolute extract of the plant,contributes an elusive and refined earthiness,and a breakthrough iteration of patchouli called Clearwood,used for the very first time in perfumery,is the most exquisite and pure rendition of patchouli's darkly addictive signature ever captured. The merging of these three facets creates the uniquely unconventional heart of the fragrance. They create a prism effect,reflecting off each other to intensify the depth and intrigue that is inherent to patchouli. Patchouli Absolu has a hypnotic signature that pulses with dark mystery.;;;,,,,
INTOXICATED is emphatically the latter.;;;;,,,,,,,,,,,,
Kilian Hennessy and Calice Becker conjure up the steam from an eggshell cup of rich viscous Turkish coffee laced with green cardamom in double strength - in oil and absolute - to glow as the opulent heart of the scent. Around this swells the warm spicy fragrance of hallucinogenic nutmeg & powdered cinnamon. At the base is the crystal sweetness of burnt caramelized sugar.;;;;,,,,,,,,,,,,
A burst of blue eucalyptus and rosy grapefruit which takes you by the hand and leads you through dizzy fumes of cardamom,thyme and fir balsam into an inhalation of mind-turning accords of tobacco,birch and cashmere woods. The bite of mate tea and tagete - the Aztec marigold - hint at the New World obsession with La Cucaracha.;;;;,,,,,,,,,,
Top notes of lemon,orange and a green accord imbue the opening with an exhilarating,yet sophisticated allure that gives way to a luxurious heart of rose,cardamom,and Indian jasmine. A deep,sensuous base of oudh,patchouli and soft amber exudes majesty and elegance- like any true queen,Blue Sapphire wields her power with dignity.;;;;,,,,,
A woman wearing fern can do it in memory of past conquests or in nostalgia for the comfort of her father's arms. But she can also just do it to defy people around her with alluring and provocative scents. A man wears it for the same reasons,sometimes nostalgic,others conqueror,manly,confident.;;;;,,,,,,,,
Francois Henin,Jovoy's owner and founder,needed a fresh,visionary and talented eye to address the delicate issue of revisiting such a classic universe. It was Vanina Murraciole,and the fragrance in development would soon be known as L'Art de la Guerre (The Art of War).;;;;,,,,,,,,
The incense and aldehydes swirl,dance,and weave their way down to earth where they settle on a pillow of cashmere woods and delicately spiced warmth. Very quickly,L'orpheline transforms itself into the most addictive blend of smoky,woody cream. Clean musk,amber,and a hint of spices dust the soft woods,but the fleecy softness outweighs them all. In its drydown,L'orpheline is like an angora blanket that hugs your skin with comforting,delicate coziness,giving you a gentle caress of meditative incense and pillow-soft creaminess. L'orpheline's transformation is complete. ;;;;,,
Bursting with sunny citrus notes layered on top of innocent yet seductive florals,California Reverie is pure delight. An orange grove blossoms and honeybees explore the fresh blooms in the sunlight. Velvet petals of jasmine sambac and a distant breeze of Hawaiian frangipani compliment an even base of refined vanilla.;;;;,,,,,,,,,,,
Tauer's inspiration for Sotto La Luna Gardenia was the imagery of a gardenia under the moon. The scent flowers out with a spicy freshness,it matures into a round,gentle green floral perfume reminiscent of a hundred different flowers,it closes with powdery mosses and a creamy floral woodiness that disappears into the night. A soft gardenia,shiny but not blazing,a fine and beautiful flower,a harmonious perfume blending into the night.;;;;,,,,,,
Santal Carmin opens with a velvet sweetness,the exotic hint of saffron foretelling the luxurious experience to come. Gaiac wood and sandalwood,warm and smooth,impart the plush heart of the scent,while vanilla and white musk lend a creamy element that is both comforting and seductive.;;;;,,,,,,,,
Like the enchanting call of Sirens to chosen wayward ships,the mesmerizing base of Nymphaea Caerulea features an abundance of genuine white Ambergris,supported by celestial notes and shimmering accords composed of 80 ingredients: both precious naturals and intuitively selected aroma materials.;;;;,,,,,,,,,,
The touching salty-sweet opening of Nymphaea Caerulea is at once nostalgic,hopeful and altogether new. An uncanny lemony impression that bares no hint of tartness gives way to perfumed leaves and flower water. Constantly wavering betweendeep blue andemerald green, air andwater,boldness andgentleness, the result is a symphonic aquamarine lullaby within a nebula. Among the many intriguing qualities of this perfume is that to some it recalls impressions of various unusual smells: freeze dried apple,toothpaste,glass cleaner... and yet there is an undeniable beauty and constant floralcy that dominates and mesmerizes the senses in the way that burying one's whole face in a giant lotus blossom would. Shimmering salt crystals on unripened berries. Smokeless incensed altar. Waterfall. And finally,the haunting: the boldly lingering,vaguely caramel,oceanic ambergris. The truest scent of mermaid skin; A singing iridescent floral.;;;,,,
Made with love,inspired and guided by Angels. This scent was created by Tanja Bochnig in an effort to connect all dimensions and realms with each other,allowing our beloved friends to be very close to us and to help us.;;;;,,,,,,,,,,
This scent is infused with clear crystal and Herkimer diamond. Bottled on a Full Moon. Each bottle contains 24 karat gold flakes.;;;;,,,,,,,,,,,,
Developed around a chypre backbone,the base notes of wood and balms add comfort and create addiction. It is a rich and voluptuous fragrance which is suitable for both men and women.;;;;,,,,,,,,,,,
The famous oval-shaped label is printed on the boxes and determined the shape of the eau de toilette's glass bottle. 34 Boulevard Saint Germain is engraved on the black Bakelite magnetic cap like a stamp. The concave base of the bottle evokes the rounded form of the paperweights sold at 34 Boulevard Saint Germain.;;;;,,,,,,,,,,,,
From this memory is born SANTAL 33: the ambition to create an olfactive form inspired by the great American myth still a source of fantasy for the rest of the world...;;;;,,,,,,,,,,,,
A perfume that touches the sensual universality of this icon... that would intoxicate a man as much as a woman... that gives this perfume its unisex signature and addictive comfort. ;;;;,,,,,,,,,,,,
Furioso. The term,used as a direction in music,meansto be played rapidly and with passion... Because Corsica,where Marc- Antoine Corticchiato has his roots,is never restful. It sends your eyes,your nose,your heart into overdrive. So when you're close to bursting with sensations and emotions,you take to the mountains.;;;;,,,,,
The perfumer's new tribute to his homeland was inspired by the moving scent that greets the returning traveler: the green,intense,facetted fragrance of lentiscus,a shrub that grows on the sunny slopes of Corsica,from the highlands to the Mediterranean seaside.;;;;,,,,,,,,
But Corsica Furiosa is far more than that: the quintessence of everything that makes theIsland of Beauty unique,fierce and strong. The violent contrasts of its smells,colors,reliefs,passions,secrets...;;;;,,,,,,,
Since everyone in Corsica has their own recipe for it,a fiery swig of eau-de-vie sets the top notes ablaze. In its combustible wake,it trails the green bite of nepita,a local variety of wild mint. Crisp green tomato leaf intensifies the natural vibe.;;;;,,,,,,,,,
Under a shower of light,The trees sing in the orchardAnd the seeds in the gardenCome forth laughing from the Earth.;;;;,,,,,,,,,,,
Ring! For it's May.Innocent bells of the lily of the valley,Brilliant eyes,a light soul,Maidens take themselves to the woodsJoining the fairies already there,Dancing in the round on the briar;;;;,,,,,,,,
Ring! For it's May!Innocent bells of the lily of the valley.Maurice CarÃªme. (1899-1978);;;;,,,,,,,,,,,,
